ecosystem_type,data_type,year,var,group,old_var,value,units
lake,lake_ppr,2000,PPR,FRX,FRX PPR (mgC/m2/d),8.887891594,mgC/m2/d
lake,lake_ppr,2000,PPR,HOR,HOR PPR (mgC/m2/d),8.784590428,mgC/m2/d
lake,lake_ppr,2000,PPR,ELB,ELB PPR (mgC/m2/d),13.35950915,mgC/m2/d
lake,lake_ppr,2000,PPR,WLB,WLB PPR (mgC/m2/d),20.26200525,mgC/m2/d
lake,lake_ppr,2001,PPR,FRX,FRX PPR (mgC/m2/d),8.579867333,mgC/m2/d
lake,lake_ppr,2001,PPR,HOR,HOR PPR (mgC/m2/d),14.67832379,mgC/m2/d
lake,lake_ppr,2001,PPR,ELB,ELB PPR (mgC/m2/d),8.508542796,mgC/m2/d
lake,lake_ppr,2001,PPR,WLB,WLB PPR (mgC/m2/d),14.29229825,mgC/m2/d
lake,lake_ppr,2002,PPR,FRX,FRX PPR (mgC/m2/d),13.42930818,mgC/m2/d
lake,lake_ppr,2002,PPR,HOR,HOR PPR (mgC/m2/d),23.10932094,mgC/m2/d
lake,lake_ppr,2002,PPR,ELB,ELB PPR (mgC/m2/d),12.04582236,mgC/m2/d
lake,lake_ppr,2002,PPR,WLB,WLB PPR (mgC/m2/d),14.05229879,mgC/m2/d
lake,lake_ppr,2003,PPR,FRX,FRX PPR (mgC/m2/d),10.0331084,mgC/m2/d
lake,lake_ppr,2003,PPR,HOR,HOR PPR (mgC/m2/d),20.96285694,mgC/m2/d
lake,lake_ppr,2003,PPR,ELB,ELB PPR (mgC/m2/d),17.20682321,mgC/m2/d
lake,lake_ppr,2003,PPR,WLB,WLB PPR (mgC/m2/d),19.85552823,mgC/m2/d
lake,lake_ppr,2004,PPR,FRX,FRX PPR (mgC/m2/d),8.123795441,mgC/m2/d
lake,lake_ppr,2004,PPR,HOR,HOR PPR (mgC/m2/d),28.31965099,mgC/m2/d
lake,lake_ppr,2004,PPR,ELB,ELB PPR (mgC/m2/d),13.86075358,mgC/m2/d
lake,lake_ppr,2004,PPR,WLB,WLB PPR (mgC/m2/d),9.523832125,mgC/m2/d
lake,lake_ppr,2005,PPR,FRX,FRX PPR (mgC/m2/d),6.550464654,mgC/m2/d
lake,lake_ppr,2005,PPR,HOR,HOR PPR (mgC/m2/d),27.35815999,mgC/m2/d
lake,lake_ppr,2005,PPR,ELB,ELB PPR (mgC/m2/d),16.62400237,mgC/m2/d
lake,lake_ppr,2005,PPR,WLB,WLB PPR (mgC/m2/d),18.56093106,mgC/m2/d
lake,lake_ppr,2006,PPR,FRX,FRX PPR (mgC/m2/d),5.452354019,mgC/m2/d
lake,lake_ppr,2006,PPR,HOR,HOR PPR (mgC/m2/d),8.804176084,mgC/m2/d
lake,lake_ppr,2006,PPR,ELB,ELB PPR (mgC/m2/d),16.33312158,mgC/m2/d
lake,lake_ppr,2006,PPR,WLB,WLB PPR (mgC/m2/d),17.08656959,mgC/m2/d
lake,lake_ppr,2007,PPR,FRX,FRX PPR (mgC/m2/d),4.560056924,mgC/m2/d
lake,lake_ppr,2007,PPR,HOR,HOR PPR (mgC/m2/d),14.913242,mgC/m2/d
lake,lake_ppr,2007,PPR,ELB,ELB PPR (mgC/m2/d),17.54056615,mgC/m2/d
lake,lake_ppr,2007,PPR,WLB,WLB PPR (mgC/m2/d),16.78428607,mgC/m2/d
lake,lake_ppr,2008,PPR,FRX,FRX PPR (mgC/m2/d),9.233270375,mgC/m2/d
lake,lake_ppr,2008,PPR,HOR,HOR PPR (mgC/m2/d),8.331369333,mgC/m2/d
lake,lake_ppr,2008,PPR,ELB,ELB PPR (mgC/m2/d),22.44394756,mgC/m2/d
lake,lake_ppr,2008,PPR,WLB,WLB PPR (mgC/m2/d),18.58535058,mgC/m2/d
lake,lake_ppr,2009,PPR,FRX,FRX PPR (mgC/m2/d),8.978737413,mgC/m2/d
lake,lake_ppr,2009,PPR,HOR,HOR PPR (mgC/m2/d),14.75348916,mgC/m2/d
lake,lake_ppr,2009,PPR,ELB,ELB PPR (mgC/m2/d),14.8643313,mgC/m2/d
lake,lake_ppr,2009,PPR,WLB,WLB PPR (mgC/m2/d),19.81046592,mgC/m2/d
lake,lake_ppr,2010,PPR,FRX,FRX PPR (mgC/m2/d),11.90379157,mgC/m2/d
lake,lake_ppr,2010,PPR,HOR,HOR PPR (mgC/m2/d),2.917390265,mgC/m2/d
lake,lake_ppr,2010,PPR,ELB,ELB PPR (mgC/m2/d),14.86396632,mgC/m2/d
lake,lake_ppr,2010,PPR,WLB,WLB PPR (mgC/m2/d),24.19775014,mgC/m2/d
lake,lake_ppr,2011,PPR,FRX,FRX PPR (mgC/m2/d),25.98114455,mgC/m2/d
lake,lake_ppr,2011,PPR,HOR,HOR PPR (mgC/m2/d),16.94905004,mgC/m2/d
lake,lake_ppr,2011,PPR,ELB,ELB PPR (mgC/m2/d),15.61941031,mgC/m2/d
lake,lake_ppr,2011,PPR,WLB,WLB PPR (mgC/m2/d),21.05376777,mgC/m2/d
lake,lake_ppr,2012,PPR,FRX,FRX PPR (mgC/m2/d),12.37136846,mgC/m2/d
lake,lake_ppr,2012,PPR,HOR,HOR PPR (mgC/m2/d),4.586128852,mgC/m2/d
lake,lake_ppr,2012,PPR,ELB,ELB PPR (mgC/m2/d),15.59945194,mgC/m2/d
lake,lake_ppr,2012,PPR,WLB,WLB PPR (mgC/m2/d),30.51220192,mgC/m2/d
lake,lake_ppr,2013,PPR,FRX,FRX PPR (mgC/m2/d),13.91654574,mgC/m2/d
lake,lake_ppr,2013,PPR,HOR,HOR PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,2013,PPR,ELB,ELB PPR (mgC/m2/d),15.33343853,mgC/m2/d
lake,lake_ppr,2013,PPR,WLB,WLB PPR (mgC/m2/d),23.37075723,mgC/m2/d
